x y
4.094241e+02 1.000000e+00
4.274853e+02 3.000000e+00
4.455465e+02 4.000000e+00
4.636076e+02 8.000000e+00
4.816688e+02 1.400000e+01
4.997299e+02 1.100000e+01
5.177911e+02 2.500000e+01
5.358523e+02 4.200000e+01
5.539135e+02 5.100000e+01
5.719746e+02 6.500000e+01
5.900358e+02 6.300000e+01
6.080970e+02 9.200000e+01
6.261581e+02 9.500000e+01
6.442193e+02 1.270000e+02
6.622805e+02 1.380000e+02
6.803416e+02 1.480000e+02
6.984028e+02 1.770000e+02
7.164639e+02 1.760000e+02
7.345251e+02 1.970000e+02
7.525863e+02 2.340000e+02
7.706475e+02 2.610000e+02
7.887086e+02 2.800000e+02
8.067698e+02 2.870000e+02
8.248309e+02 3.010000e+02
8.428921e+02 3.270000e+02
8.609533e+02 4.000000e+02
8.790145e+02 3.870000e+02
8.970756e+02 3.930000e+02
9.151368e+02 4.850000e+02
9.331979e+02 4.880000e+02
9.512591e+02 4.860000e+02
9.693203e+02 5.260000e+02
9.873815e+02 5.320000e+02
1.005443e+03 6.000000e+02
1.023504e+03 6.120000e+02
1.041565e+03 6.440000e+02
1.059626e+03 7.100000e+02
1.077687e+03 6.940000e+02
1.095748e+03 7.160000e+02
1.113810e+03 7.670000e+02
1.131871e+03 7.950000e+02
1.149932e+03 8.350000e+02
1.167993e+03 8.760000e+02
1.186054e+03 9.210000e+02
1.204115e+03 9.290000e+02
1.222177e+03 1.014000e+03
1.240238e+03 1.052000e+03
1.258299e+03 1.075000e+03
1.276360e+03 1.135000e+03
1.294421e+03 1.086000e+03
1.312482e+03 1.217000e+03
1.330544e+03 1.221000e+03
1.348605e+03 1.347000e+03
1.366666e+03 1.306000e+03
1.384727e+03 1.388000e+03
1.402788e+03 1.438000e+03
1.420849e+03 1.433000e+03
1.438911e+03 1.423000e+03
1.456972e+03 1.583000e+03
1.475033e+03 1.576000e+03
1.493094e+03 1.686000e+03
1.511155e+03 1.571000e+03
1.529216e+03 1.705000e+03
1.547278e+03 1.737000e+03
1.565339e+03 1.755000e+03
1.583400e+03 1.834000e+03
1.601461e+03 1.799000e+03
1.619522e+03 1.853000e+03
1.637583e+03 1.917000e+03
1.655645e+03 1.917000e+03
1.673706e+03 1.984000e+03
1.691767e+03 2.034000e+03
1.709828e+03 2.013000e+03
1.727889e+03 2.056000e+03
1.745950e+03 2.048000e+03
1.764012e+03 2.115000e+03
1.782073e+03 2.198000e+03
1.800134e+03 2.153000e+03
1.818195e+03 2.242000e+03
1.836256e+03 2.219000e+03
1.854317e+03 2.264000e+03
1.872379e+03 2.295000e+03
1.890440e+03 2.294000e+03
1.908501e+03 2.210000e+03
1.926562e+03 2.278000e+03
1.944623e+03 2.340000e+03
1.962684e+03 2.251000e+03
1.980746e+03 2.270000e+03
1.998807e+03 2.271000e+03
2.016868e+03 2.218000e+03
2.034929e+03 2.293000e+03
2.052990e+03 2.231000e+03
2.071052e+03 2.250000e+03
2.089113e+03 2.299000e+03
2.107174e+03 2.287000e+03
2.125235e+03 2.385000e+03
2.143296e+03 2.190000e+03
2.161357e+03 2.295000e+03
2.179418e+03 2.235000e+03
2.197479e+03 2.248000e+03
2.215541e+03 2.155000e+03
2.233602e+03 2.180000e+03
2.251663e+03 2.172000e+03
2.269724e+03 2.147000e+03
2.287785e+03 2.070000e+03
2.305847e+03 2.011000e+03
2.323908e+03 2.055000e+03
2.341969e+03 2.012000e+03
2.360030e+03 1.941000e+03
2.378091e+03 1.966000e+03
2.396152e+03 1.877000e+03
2.414214e+03 1.995000e+03
2.432275e+03 1.851000e+03
2.450336e+03 1.748000e+03
2.468397e+03 1.877000e+03
2.486458e+03 1.887000e+03
2.504519e+03 1.680000e+03
2.522581e+03 1.684000e+03
2.540642e+03 1.673000e+03
2.558703e+03 1.690000e+03
2.576764e+03 1.580000e+03
2.594825e+03 1.471000e+03
2.612886e+03 1.544000e+03
2.630948e+03 1.448000e+03
2.649009e+03 1.340000e+03
2.667070e+03 1.394000e+03
2.685131e+03 1.401000e+03
2.703192e+03 1.322000e+03
2.721253e+03 1.316000e+03
2.739314e+03 1.243000e+03
2.757376e+03 1.224000e+03
2.775437e+03 1.223000e+03
2.793498e+03 1.090000e+03
2.811559e+03 1.058000e+03
2.829620e+03 1.094000e+03
2.847682e+03 1.044000e+03
2.865743e+03 1.004000e+03
2.883804e+03 1.009000e+03
2.901865e+03 9.520000e+02
2.919926e+03 9.000000e+02
2.937987e+03 8.880000e+02
2.956049e+03 8.380000e+02
2.974110e+03 7.890000e+02
2.992171e+03 7.620000e+02
3.010232e+03 7.300000e+02
3.028293e+03 6.710000e+02
3.046354e+03 7.110000e+02
3.064416e+03 6.920000e+02
3.082477e+03 6.420000e+02
3.100538e+03 6.220000e+02
3.118599e+03 6.050000e+02
3.136660e+03 5.330000e+02
3.154721e+03 4.990000e+02
3.172782e+03 5.030000e+02
3.190844e+03 5.000000e+02
3.208905e+03 4.380000e+02
3.226966e+03 4.600000e+02
3.245027e+03 3.960000e+02
3.263088e+03 4.500000e+02
3.281150e+03 3.760000e+02
3.299211e+03 3.710000e+02
3.317272e+03 3.520000e+02
3.335333e+03 3.610000e+02
3.353394e+03 2.880000e+02
3.371455e+03 2.680000e+02
3.389517e+03 2.830000e+02
3.407578e+03 2.570000e+02
3.425639e+03 2.460000e+02
3.443700e+03 2.460000e+02
3.461761e+03 2.330000e+02
3.479822e+03 2.140000e+02
3.497884e+03 2.110000e+02
3.515945e+03 1.780000e+02
3.534006e+03 1.840000e+02
3.552067e+03 1.710000e+02
3.570128e+03 1.490000e+02
3.588189e+03 1.530000e+02
3.606250e+03 1.500000e+02
3.624312e+03 1.260000e+02
3.642373e+03 1.330000e+02
3.660434e+03 1.260000e+02
3.678495e+03 9.000000e+01
3.696556e+03 1.130000e+02
3.714617e+03 9.900000e+01
3.732679e+03 9.400000e+01
3.750740e+03 9.000000e+01
3.768801e+03 9.600000e+01
3.786862e+03 8.600000e+01
3.804923e+03 7.100000e+01
3.822985e+03 6.500000e+01
3.841046e+03 6.400000e+01
3.859107e+03 5.800000e+01
3.877168e+03 5.300000e+01
3.895229e+03 4.800000e+01
3.913290e+03 3.800000e+01
3.931352e+03 4.200000e+01
3.949413e+03 3.400000e+01
3.967474e+03 4.400000e+01
3.985535e+03 2.700000e+01
4.003596e+03 4.100000e+01
4.021657e+03 3.400000e+01
4.039719e+03 2.700000e+01
4.057780e+03 3.200000e+01
4.075841e+03 2.500000e+01
4.093902e+03 2.100000e+01
4.111963e+03 3.100000e+01
4.130024e+03 2.700000e+01
4.148085e+03 1.500000e+01
4.166146e+03 2.100000e+01
4.184208e+03 1.100000e+01
4.202269e+03 1.300000e+01
4.220330e+03 7.000000e+00
4.238391e+03 1.300000e+01
4.256453e+03 1.400000e+01
4.274514e+03 1.100000e+01
4.292575e+03 9.000000e+00
4.310636e+03 1.000000e+01
4.328697e+03 9.000000e+00
4.346758e+03 9.000000e+00
4.364819e+03 7.000000e+00
4.382881e+03 5.000000e+00
4.400942e+03 6.000000e+00
4.419003e+03 6.000000e+00
4.437064e+03 4.000000e+00
4.455125e+03 8.000000e+00
4.473187e+03 3.000000e+00
4.491248e+03 7.000000e+00
4.509309e+03 2.000000e+00
4.527370e+03 1.000000e+00
4.545431e+03 3.000000e+00
4.563492e+03 6.000000e+00
4.581554e+03 1.000000e+00
4.599615e+03 7.000000e+00
4.617676e+03 2.000000e+00
4.635737e+03 2.000000e+00
4.653798e+03 3.000000e+00
4.671859e+03 3.000000e+00
