0.0 0.000
0.2 0.104
0.4 0.211
0.6 0.320
0.8 0.428
1.0 0.535
1.2 0.640
1.4 0.740
1.6 0.834
1.8 0.921
2.0 1.000
2.2 1.069
2.4 1.126
2.6 1.170
2.8 1.200
3.0 1.215
3.2 1.212
3.4 1.190
3.6 1.149
3.8 1.086
4.0 1.000
4.2 0.891
4.4 0.761
4.6 0.616
4.8 0.459
5.0 0.294
5.2 0.125
5.4 -0.042
5.6 -0.205
5.8 -0.359
6.0 -0.500
6.2 -0.624
6.4 -0.731
6.6 -0.821
6.8 -0.895
7.0 -0.952
7.2 -0.993
7.4 -1.018
7.6 -1.027
7.8 -1.021
8.0 -1.000
8.2 -0.964
8.4 -0.913
8.6 -0.847
8.8 -0.767
9.0 -0.673
9.2 -0.565
9.4 -0.444
9.6 -0.309
9.8 -0.161
10.0 0.000
